사업장명,시도명,시군구명,사업장업종명,세차유형,소재지도로명주소,휴무일,평일운영시작시각,평일운영종료시각,휴일운영시작시각,휴일운영종료시각,세차요금정보,대표자명,세차장전화번호,수질허가번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
미래주유소,경기도,의정부시,주유소,,경기도 의정부시 동일로 492,,,,,,,"엄지현,이동은",031-821-4225,3820000-22-2013-00002,37.732018,127.0590254,2019-04-01,3820000,경기도 의정부시
㈜르노삼성자동차서비스코너 금오점,경기도,의정부시,정비업소,,경기도 의정부시 추동로91번길 20,,,,,,,박진규,031-845-3030,3820000-22-2013-00001,37.7482898,127.0618885,2019-04-01,3820000,경기도 의정부시
원에너지㈜호원주유소,경기도,의정부시,주유소,,경기도 의정부시 평화로 10,,,,,,,송원영,031-875-0911,3820000-22-2012-00005,37.6930556,127.0453939,2019-04-01,3820000,경기도 의정부시
산곡에너지충전소,경기도,의정부시,주유소,,경기도 의정부시 송산로 950,,,,,,,황성연,031-847-0843,3820000-22-2011-00003,37.7164833,127.1048199,2019-04-01,3820000,경기도 의정부시
(주)북의정부자동차,경기도,의정부시,정비업소,,경기도 의정부시 신흥로 57-19,,,,,,,하서준,031-876-0077,3820000-22-2010-00007,37.7210212,127.0251361,2019-04-01,3820000,경기도 의정부시
용현주유소,경기도,의정부시,주유소,,경기도 의정부시 시민로 367,,,,,,,정진수,031-841-7445,3820000-22-2010-00006,37.7357498,127.0751633,2019-04-01,3820000,경기도 의정부시
의정부가득충전소,경기도,의정부시,주유소,,경기도 의정부시 민락로 554,,,,,,,이소연,031-853-1251,3820000-22-2010-00005,37.7701682,127.1158916,2019-04-01,3820000,경기도 의정부시
영진카모터스세차장,전라남도,순천시,자동차세차업,손세차,전라남도 순천시 해룡면 해광로 108,일요일,09:00,18:00,,,"25,000",장석안,,4820000-22-2017-00009,34.920333,127.546994,2019-08-28,4820000,전라남도 순천시
조은셀프세차장,전라남도,순천시,자동차세차업,셀프세차,전라남도 순천시 덕암길 121(덕암동),,09:00,18:00,00:00,00:00,,조은숙,,4820000-22-2017-00001,34.946111,127.508777,2019-08-28,4820000,전라남도 순천시
백운카세차장,전라남도,순천시,자동차세차업,손세차,전라남도 순천시 안신기4길 26(가곡동),일요일,09:00,18:00,,,"25,000",김봉곤,,4820000-22-2016-00014,34.975762,127.481656,2019-08-28,4820000,전라남도 순천시
뉴월드주유소세차장,대전광역시,동구,자동차 세차업,,대전광역시 동구 계족로 502-4 (용전동),,,,,,,이정수,042-624-8600,36,36.3564773,127.4333374,2019-09-19,3640000,대전광역시 동구
대창오토,대전광역시,동구,자동차 세차업,,대전광역시 동구 동대전로 289 (가양동),,,,,,,조성환,042-672-2005,444,36.3464844,127.4444959,2019-09-19,3640000,대전광역시 동구
㈜호원주유소,대전광역시,동구,자동차 세차업,,대전광역시 동구 한밭대로 1315 (용전동),,,,,,,이성연,042-672-2954,446,36.3523741,127.4412241,2019-09-19,3640000,대전광역시 동구
대전셀프주유소,대전광역시,동구,자동차 세차업,,대전광역시 동구 계족로 436 (용전동),,,,,,,정혜진,042-673-8880,448,36.3506072,127.4327015,2019-09-19,3640000,대전광역시 동구
㈜하늘셀프주유소,대전광역시,동구,자동차 세차업,,대전광역시 동구 대전로 549(천동),,,,,,,대표이사,042-283-5151,449,36.3115813,127.4446089,2019-09-19,3640000,대전광역시 동구
365손세차전문점,대전광역시,동구,자동차 세차업,,대전광역시 동구 동대전로 260 (가양동),,,,,,,박영미,,450,36.3445784,127.4468523,2019-09-19,3640000,대전광역시 동구
신가오주유소,대전광역시,동구,자동차 세차업,,대전광역시 동구 은어송로 38 (가오동),,,,,,,황애림,042-272-7171,451,36.3049645,127.4544221,2019-09-19,3640000,대전광역시 동구
건국카맨샵,대전광역시,동구,자동차 세차업,,대전광역시 동구 옥천로 56-1 (신흥동),,,,,,,이은정,,456,36.3196846,127.447153,2019-09-19,3640000,대전광역시 동구
산내제일주유소,대전광역시,동구,자동차 세차업,,대전광역시 동구 대전로 269 (대성동),,,,,,,송진일 외1,042-282-5189,461,36.2922639,127.4621533,2019-09-19,3640000,대전광역시 동구
엠케이코리아,대전광역시,동구,자동차 세차업,,대전광역시 동구 동대전로 297 (가양동),,,,,,,강정규,,462,36.3472388,127.4441263,2019-09-19,3640000,대전광역시 동구
동광장세차장,대전광역시,동구,자동차 세차업,,대전광역시 동구 미래길 61(소제동),,,,,,,김대식,,468,36.3330107,127.4408089,2019-09-19,3640000,대전광역시 동구
워시파크셀프세차장(신대점),전라남도,순천시,자동차세차업,셀프세차,전라남도 순천시 해룡면 신대로 235,,09:00,18:00,00:00,00:00,,이용완,,4820000-22-2016-00008,34.935471,127.563453,2019-08-28,4820000,전라남도 순천시
슈퍼맨셀프세차장,전라남도,순천시,자동차세차업,셀프세차,전라남도 순천시 지봉로 515(조례동),,09:00,18:00,00:00,00:00,,김기상,,4820000-22-2016-00007,34.953287,127.531303,2019-08-28,4820000,전라남도 순천시
대현셀프세차장,전라남도,순천시,자동차세차업,셀프세차,전라남도 순천시 태봉길 62 (조례동),,09:00,18:00,00:00,00:00,,주성아,,4820000-22-2016-00004,34.957941,127.522201,2019-08-28,4820000,전라남도 순천시
중앙셀프세차장,전라남도,순천시,자동차세차업,셀프세차,전라남도 순천시 용당신흥길 3 (용당동),,09:00,18:00,00:00,00:00,,임문택,,4820000-22-2015-00004,34.97170849,127.491298,2019-08-28,4820000,전라남도 순천시
매직칼라손세차장,전라남도,순천시,자동차세차업,손세차,전라남도 순천시 남산6길 6-1 (남정동),일요일,09:00,18:00,,,"25,000",김옥경,,4820000-22-2014-00015,34.940414,127.491061,2019-08-28,4820000,전라남도 순천시
예술카세차장,전라남도,순천시,자동차세차업,손세차,전라남도 순천시 강청길 150 (용당동),일요일,09:00,18:00,,,"25,000",김영승,,4820000-22-2014-00007,34.981108,127.5015391,2019-08-28,4820000,전라남도 순천시
왕운광택세차장,전라남도,순천시,자동차세차업,손세차,전라남도 순천시 왕지5길 55 (왕지동),일요일,09:00,18:00,,,"25,000",김한빈,,4820000-22-2014-00001,34.973029,127.524105,2019-08-28,4820000,전라남도 순천시
24시셀프세차,경기도,의정부시,세차장,,경기도 의정부시 녹양로 126,,,,,,,이황영,000-000-0000,3820000-22-2019-00001,37.761803,127.0347003,2019-04-01,3820000,경기도 의정부시
㈜샤인마스터,경기도,의정부시,세차장,,경기도 의정부시 금오로 126,,,,,,,임재욱,000-000-0000,3820000-22-2018-00003,37.756978,127.0793176,2019-04-01,3820000,경기도 의정부시
타이어클럽,경기도,의정부시,정비업소,,경기도 의정부시 호국로 1447-1,,,,,,,최혜진,031-821-9987,3820000-22-2018-00002,37.751183,127.061902,2019-04-01,3820000,경기도 의정부시
내차병원,경기도,의정부시,정비업소,,경기도 의정부시 의정로 182,,,,,,,장상호,000-000-0000,3820000-22-2018-00001,37.749033,127.034594,2019-04-01,3820000,경기도 의정부시
유성주유소,경기도,의정부시,주유소,,경기도 의정부시 송산로 913,,,,,,,정상진,031-841-2254,3820000-22-2017-00005,37.713048,127.104850,2019-04-01,3820000,경기도 의정부시
카업워시 의정부동점,경기도,의정부시,정비업소,,경기도 의정부시 신흥로 267,,,,,,,이병직,031-847-2683,3820000-22-2017-00004,37.736797,127.042849319,2019-04-01,3820000,경기도 의정부시
케이모터스,경기도,의정부시,정비업소,,경기도 의정부시 동일로 675,,,,,,,김학수,031-821-3334,3820000-22-2017-00003,37.748002,127.053105,2019-04-01,3820000,경기도 의정부시
일우자동차공업사,경기도,의정부시,정비업소,,경기도 의정부시 시민로122번길 25,,,,,,,김순애,031-877-7722,3820000-22-2017-00002,37.737239,127.048705,2019-04-01,3820000,경기도 의정부시
Mr.카워시,경기도,의정부시,세차장,,경기도 의정부시 송양로 23,,,,,,,이광호,031-853-3658,3820000-22-2016-00006,37.752975,127.112195,2019-04-01,3820000,경기도 의정부시
카맨샵,경기도,의정부시,세차장,,경기도 의정부시 입석로 18,,,,,,,안종규,031-828-2114,3820000-22-2016-00005,37.7563663,127.019949,2019-04-01,3820000,경기도 의정부시
은하주유소,경기도,의정부시,주유소,,경기도 의정부시 호국로 1696,,,,,,,이은하외 1인,031-828-2114,3820000-22-2016-00004,37.760153,127.087014,2019-04-01,3820000,경기도 의정부시
워시존 의정부점,경기도,의정부시,세차장,,경기도 의정부시 호국로 1431,,,,,,,박병조,031-823-1278,3820000-22-2016-00003,37.745513,127.066703,2019-04-01,3820000,경기도 의정부시
으뜸자동차정비,경상북도,포항시,정비업소,,경상북도 포항시 북구 양덕남로 31 (장성동),,,,,,,이상원,,2007-9,36.0787195687,129.3956810422,2020-06-18,5020000,경상북도 포항시
고현주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 청하면 동해대로 2151,,,,,,,김경식,054-232-0971,2007-11,36.1615976166,129.344059,2020-06-18,5020000,경상북도 포항시
현대오토정비,경상북도,포항시,정비업소,,경상북도 포항시 북구 아치로 189 (우현동),,,,,,,공용식,054-242-1100,2007-21,36.0590822061,129.3461240837,2020-06-18,5020000,경상북도 포항시
포항대원주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 새천년대로 1189 (장성동),,,,,,,조동휘,054-246-5189,2007-22,36.0722213976,129.3777890505,2020-06-18,5020000,경상북도 포항시
양학메트로주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 새천년대로631번길 25 (용흥동),,,,,,,김종각,054-274-5145,2007-24,36.0282809799,129.3537463681,2020-06-18,5020000,경상북도 포항시
영일고속주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 용흥로 22 (용흥동),,,,,,,이순자,054-256-0123,2007-25,36.03306466,129.3569858355,2020-06-18,5020000,경상북도 포항시
양학로주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 양학로 101 (득량동),,,,,,,임지연,054-274-2800,2007-27,36.030385,129.344456,2020-06-18,5020000,경상북도 포항시
대송햇살주유소,경상북도,포항시,주유소,,경상북도 포항시 남구 대송면 대송로 23,,,,,,,박상갑,054-274-5189,2007-28,35.984426,129.3613746288,2020-06-18,5020000,경상북도 포항시
포항홍익주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 용당로 26 (용흥동),,,,,,,최순범,054-283-2228,2007-35,36.03046195,129.357755,2020-06-18,5020000,경상북도 포항시
강변주유소,경상북도,포항시,주유소,,경상북도 포항시 남구 희망대로 971 (해도동),,,,,,,김광은,,2007-34,36.01832225,129.373537,2020-06-18,5020000,경상북도 포항시
SK네트웍스㈜독도랑우리랑주유소,경상북도,포항시,주유소,,경상북도 포항시 북구 새천년대로 877(우현동),,,,,,,대표이사,054-232-6282,2007-33,36.051173,129.358939,2020-06-18,5020000,경상북도 포항시
